experiment,query,sf,n_requested,n_actual,combo,flags,fetch_median,fetch_std,logic_median,logic_std,total_median,total_std,total_cv,n_repeats,sql_baseline_median,speedup,valid
n_scaling,Q1,1.0,2,2,SGDA,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,0.03095,0.00871,0.03095,0.00871,0.2816,5,0.03095,1.0,True
n_scaling,Q1,1.0,4,4,(none),"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.2642,0.00266,0.1082,0.00184,0.37384,0.00283,0.0076,5,0.05631,0.1506,True
n_scaling,Q1,1.0,4,4,G,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.2509,0.00238,0.10783,0.0007,0.35876,0.00258,0.0072,5,0.05631,0.157,True
n_scaling,Q1,1.0,4,4,S,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,4.66179,0.01813,4.66179,0.01813,0.0039,5,0.05631,0.0121,True
n_scaling,Q1,1.0,4,4,GD,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.03185,0.00073,0.00012,0.0,0.03197,0.00073,0.0227,5,0.05631,1.7613,True
n_scaling,Q1,1.0,4,4,SG,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,1.70582,0.00349,1.70582,0.00349,0.002,5,0.05631,0.033,True
n_scaling,Q1,1.0,4,4,SGD,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,0.05075,0.0013,0.05075,0.0013,0.0256,5,0.05631,1.1096,True
n_scaling,Q1,1.0,4,4,SGDA,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,0.05631,0.00286,0.05631,0.00286,0.0508,5,0.05631,1.0,True
n_scaling,Q1,1.0,8,8,(none),"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.26549,0.00157,0.22067,0.0055,0.48699,0.00458,0.0094,5,0.11322,0.2325,True
n_scaling,Q1,1.0,8,8,G,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.2504,0.00697,0.21538,0.01086,0.47596,0.0114,0.024,5,0.11322,0.2379,True
n_scaling,Q1,1.0,8,8,S,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,9.31998,0.03603,9.31998,0.03603,0.0039,5,0.11322,0.0121,True
n_scaling,Q1,1.0,8,8,GD,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.03172,0.00081,0.00019,1e-05,0.03192,0.00081,0.0255,5,0.11322,3.5469,True
n_scaling,Q1,1.0,8,8,SG,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,3.42469,0.01171,3.42469,0.01171,0.0034,5,0.11322,0.0331,True
n_scaling,Q1,1.0,8,8,SGD,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,0.1045,0.00319,0.1045,0.00319,0.0306,5,0.11322,1.0834,True
n_scaling,Q1,1.0,8,8,SGDA,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,0.11322,0.00326,0.11322,0.00326,0.0288,5,0.11322,1.0,True
n_scaling,Q1,1.0,16,16,(none),"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.26559,0.00072,0.43427,0.0026,0.69984,0.00251,0.0036,5,0.23209,0.3316,True
n_scaling,Q1,1.0,16,16,G,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.25043,0.00238,0.43051,0.01294,0.68122,0.01327,0.0195,5,0.23209,0.3407,True
n_scaling,Q1,1.0,16,16,S,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,18.65307,0.02118,18.65307,0.02118,0.0011,5,0.23209,0.0124,True
n_scaling,Q1,1.0,16,16,GD,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.03073,0.00092,0.00035,1e-05,0.0311,0.00092,0.0296,5,0.23209,7.4616,True
n_scaling,Q1,1.0,16,16,SG,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,6.8688,0.04873,6.8688,0.04873,0.0071,5,0.23209,0.0338,True
